Source_URL,LinkedIn_URL
https://www.umary.edu/,https://www.linkedin.com/school/university-of-mary/
https://www.uofs.edu/,Connection Error
https://www.up.edu/,https://www.linkedin.com/school/university-of-portland/
https://www.ursuline.edu/,https://www.linkedin.com/school/ursuline-college/
https://www.usfca.edu/,https://www.linkedin.com/school/university-of-san-francisco/
https://www.usj.edu/,Not Found
https://www.usml.edu/,https://www.linkedin.com/school/university-of-saint-mary-of-the-lake/
https://www.villa.edu/,Not Found
https://www.villanova.edu/,Not Found
https://www.viterbo.edu/,Not Found
https://www.walsh.edu/,Not Found
https://www.wju.edu/,Connection Error
https://www.wtu.edu/,Connection Error
https://www.wyomingcatholiccollege.com/,Connection Error
https://www.xu.edu/,Connection Error
https://www.xula.edu/,Not Found
https://www2.cbu.edu/cbu/index.htm/,Connection Error
